generation,species,regime,share,percentage
25,predator,D,0.010000000000000002,1.0000000000000002
25,predator,N,0.28,28.000000000000004
25,predator,P1,0.6799999999999999,68.0
25,predator,P2,0.010000000000000002,1.0000000000000002
25,predator,M1,0.010000000000000002,1.0000000000000002
25,predator,M2,0.010000000000000002,1.0000000000000002
26,prey,D,0.95,95.0
26,prey,N,0.010000000000000002,1.0000000000000002
26,prey,P1,0.010000000000000002,1.0000000000000002
26,prey,P2,0.010000000000000002,1.0000000000000002
26,prey,M1,0.010000000000000002,1.0000000000000002
26,prey,M2,0.010000000000000009,1.0000000000000009
26,predator,D,0.010000000000000002,1.0000000000000002
26,predator,N,0.38,38.0
26,predator,P1,0.58,57.99999999999999
26,predator,P2,0.010000000000000002,1.0000000000000002
26,predator,M1,0.010000000000000002,1.0000000000000002
26,predator,M2,0.010000000000000002,1.0000000000000002
27,prey,D,0.85,85.0
27,prey,N,0.010000000000000002,1.0000000000000002
27,prey,P1,0.010000000000000002,1.0000000000000002
27,prey,P2,0.010000000000000002,1.0000000000000002
27,prey,M1,0.010000000000000002,1.0000000000000002
27,prey,M2,0.11000000000000001,11.000000000000002
27,predator,D,0.010000000000000002,1.0000000000000002
27,predator,N,0.28,28.000000000000004
27,predator,P1,0.6799999999999999,68.0
27,predator,P2,0.010000000000000002,1.0000000000000002
27,predator,M1,0.010000000000000002,1.0000000000000002
27,predator,M2,0.010000000000000002,1.0000000000000002
28,prey,D,0.95,95.0
28,prey,N,0.010000000000000002,1.0000000000000002
28,prey,P1,0.010000000000000002,1.0000000000000002
28,prey,P2,0.010000000000000002,1.0000000000000002
28,prey,M1,0.010000000000000002,1.0000000000000002
28,prey,M2,0.010000000000000009,1.0000000000000009
28,predator,D,0.010000000000000002,1.0000000000000002
28,predator,N,0.38,38.0
28,predator,P1,0.58,57.99999999999999
28,predator,P2,0.010000000000000002,1.0000000000000002
28,predator,M1,0.010000000000000002,1.0000000000000002
28,predator,M2,0.010000000000000002,1.0000000000000002
29,prey,D,0.85,85.0
29,prey,N,0.010000000000000002,1.0000000000000002
29,prey,P1,0.010000000000000002,1.0000000000000002
29,prey,P2,0.010000000000000002,1.0000000000000002
29,prey,M1,0.010000000000000002,1.0000000000000002
29,prey,M2,0.11000000000000001,11.000000000000002
29,predator,D,0.010000000000000002,1.0000000000000002
29,predator,N,0.28,28.000000000000004
29,predator,P1,0.6799999999999999,68.0
29,predator,P2,0.010000000000000002,1.0000000000000002
29,predator,M1,0.010000000000000002,1.0000000000000002
29,predator,M2,0.010000000000000002,1.0000000000000002
30,prey,D,0.95,95.0
30,prey,N,0.010000000000000002,1.0000000000000002
30,prey,P1,0.010000000000000002,1.0000000000000002
30,prey,P2,0.010000000000000002,1.0000000000000002
30,prey,M1,0.010000000000000002,1.0000000000000002
30,prey,M2,0.010000000000000009,1.0000000000000009
30,predator,D,0.010000000000000002,1.0000000000000002
30,predator,N,0.38,38.0
30,predator,P1,0.58,57.99999999999999
30,predator,P2,0.010000000000000002,1.0000000000000002
30,predator,M1,0.010000000000000002,1.0000000000000002
30,predator,M2,0.010000000000000002,1.0000000000000002
