round,species,regime,share_before,percentage_before,initial_mass,final_mass,mass_change,payoff
6,predator,M1,0.2666666666666667,26.66666666666667,0.26666666666666666,0.21242856006300445,-0.05423810660366221,0.9565819591773524
6,predator,M2,0.06666666666666668,6.666666666666668,0.06666666666666667,0.05313010824945311,-0.013536558417213553,0.9521317641432586
7,prey,D,0.6366666666666667,63.66666666666667,0.6366666666666659,0.7447413263985349,0.10807465973186892,0.9576954068743936
7,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011519038763287887,0.0015190387632878846,0.9773564725064807
7,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011587996592312725,0.0015879965923127227,0.9721309342125144
7,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1943318973228039,0.027665230656137102,0.965194922063187
7,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01148843989963475,0.001488439899634748,0.9747057184890869
7,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19444790339752271,0.02778123673085592,0.9630217856583594
7,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008180227764370643,-0.0018197722356293553,0.9305396278298369
7,predator,N,0.3233333333333334,32.33333333333334,0.3233333333333333,0.2524936383158809,-0.07083969501745241,0.9613769215735788
7,predator,P1,0.38,38.0,0.38,0.3035982505637655,-0.07640174943623451,0.9620129554631522
7,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.00796130698886825,-0.0020386930111317477,0.9512862359217178
7,predator,M1,0.2666666666666667,26.66666666666667,0.26666666666666666,0.2127555976256124,-0.05391106904105425,0.9584208026639321
7,predator,M2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007976435593156032,-0.0020235644068439668,0.9536857849683175
8,prey,D,0.7366666666666667,73.66666666666667,0.7366666666666662,0.8604662807851596,0.12379961411849338,0.9585055774921281
8,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01147803887756002,0.0014780388775600187,0.9788245385084022
8,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011554270703242457,0.0015542707032424555,0.973685449775636
8,prey,P2,0.06666666666666668,6.666666666666668,0.06666666666666668,0.0776036715257913,0.010937004859124619,0.9665113003707717
8,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011453557045668557,0.0014535570456685552,0.9765046665600183
8,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19415184010552256,0.02748517343885576,0.9640314585857095
8,predator,D,0.01,1.0,0.009999999999999998,0.008187920922263869,-0.0018120790777361295,0.9294383584030541
8,predator,N,0.32333333333333336,32.333333333333336,0.32333333333333325,0.25261905571537924,-0.07071427761795401,0.9619984033145863
8,predator,P1,0.47999999999999987,47.999999999999986,0.47999999999999976,0.38383282651249956,-0.0961671734875002,0.9616526973919978
8,predator,P2,0.01,1.0,0.009999999999999998,0.00796903950573345,-0.002030960494266548,0.9517921738918972
8,predator,M1,0.16666666666666669,16.666666666666668,0.16666666666666666,0.1331096301110917,-0.03355703655557496,0.9569504392747887
8,predator,M2,0.01,1.0,0.009999999999999998,0.00798322685216276,-0.0020167731478372385,0.9551761401355298
9,prey,D,0.7933333333333333,79.33333333333333,0.7933333333333336,0.9232860005395951,0.12995266720626153,0.9548310587015211
9,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01147653321978449,0.0014765332197844878,0.9816372078957496
9,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011541251265650572,0.0015412512656505697,0.9724094137452001
